Stock,Condition,Status,Type,Year,Model,Length,DryWeight,GVWR,Price,Location,Image
"Stock #00318Everett, WA",Used,On Lot,Travel Trailer,2025,"Used 2025 Alliance RV Valor 36V11Stock #00318Everett, WA",26,5200,7400,"$89,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1277.png?modified=0428202519374618
"Stock #77168Portland, OR",Used,On Lot,Travel Trailer,2020,"Used 2020 Lance Lance Truck Campers 855SStock #77168Portland, OR",26,5200,7400,"$29,987",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_45.png?modified=0428202519374618
"Stock #81379Portland, OR",New,On Lot,Travel Trailer,2026,"New 2026 Lance Lance Truck Campers 610 SquireStock #81379Portland, OR",26,5200,7400,"$29,995",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202604020422145566411588.jpg
"Stock #73205Portland, OR",New,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout TuktutStock #73205Portland, OR",26,5200,7400,"$30,850",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0730202617584159/unit_photo_202607300558415910338942.jpg
"Stock #01349Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV Cirrus 620 LiteStock #01349Kitsap, WA",26,5200,7400,"$30,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0904202622035699/unit_photo_20260904100356992566030.jpg
"Stock #81575Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Lance Squire Truck Campers SQ610Stock #81575Kitsap, WAEquipped with Duratain protective coating ($2100 value).",26,5200,7400,"$31,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_202308160525440488249553.png?modified=0428202519374618
"Stock #01350Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV Cirrus 620 LiteStock #01350Portland, OR",26,5200,7400,"$31,995",Portland / Clackamas,https://assets.interactcp.com/interactrv/images/common/na.gif
"Stock #00596Everett, WA",Used,On Lot,Travel Trailer,2023,"Used 2023 nuCamp RV Cirrus 620Stock #00596Everett, WA",26,5200,7400,"$31,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1915.png?modified=0428202519374618
"Stock #22370Kitsap, WA",Used,On Lot,Travel Trailer,2026,"Used 2026 Adventurer Manufacturing Inc. Adventurer 80RBStock #22370Kitsap, WA",26,5200,7400,"$32,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #73271Everett, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout YohoStock #73271Everett, WA",26,5200,7400,"$34,520",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0804202620491897/unit_photo_202608040849189753041985.jpg
"Stock #73269Everett, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout YohoStock #73269Everett, WA",26,5200,7400,"$34,520",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1918.png?modified=0428202519374618
"Stock #72988Tacoma, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout YohoStock #72988Tacoma, WA",26,5200,7400,"$34,580",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0514202618381368/unit_photo_202605140638136847359918.jpg
"Stock #73189Kitsap, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout YohoStock #73189Kitsap, WA",26,5200,7400,"$34,580",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_202308160525557690106776.png?modified=0428202519374618
"Stock #18216Tacoma, WA",Used,On Lot,Travel Trailer,2023,"Used 2023 Northwood Arctic Fox Camper 811 Wet BathStock #18216Tacoma, WASUPER NICE SHORT BED MODEL WITH GENERATOR",26,5200,7400,"$37,995",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202510251149416864116338.jpg
"Stock #16955Tacoma, WA",Used,On Lot,Travel Trailer,2021,"Used 2021 Northwood Arctic Fox Camper 992 Dry BathStock #16955Tacoma, WASuper Clean!",26,5200,7400,"$37,995",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0826202618500513/unit_photo_202608260650051352217449.jpg
"Stock #72853Kitsap, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout Olympic Pop-UpStock #72853Kitsap, WA",26,5200,7400,"$38,692",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202603200121564230522927.jpg
"Stock #22639Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22639Portland, OR",26,5200,7400,"$39,395",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #22640Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22640Portland, OR",26,5200,7400,"$39,395",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
